filepath,emotion,intensity,actor,gender
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-04-01-01-01-01.wav,sad,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-04-01-01-02-01.wav,sad,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-04-01-02-01-01.wav,sad,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-04-01-02-02-01.wav,sad,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-04-02-01-01-01.wav,sad,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-04-02-01-02-01.wav,sad,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-04-02-02-01-01.wav,sad,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-04-02-02-02-01.wav,sad,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-05-01-01-01-01.wav,angry,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-05-01-01-02-01.wav,angry,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-05-01-02-01-01.wav,angry,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-05-01-02-02-01.wav,angry,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-05-02-01-01-01.wav,angry,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-05-02-01-02-01.wav,angry,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-05-02-02-01-01.wav,angry,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-05-02-02-02-01.wav,angry,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-06-01-01-01-01.wav,fearful,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-06-01-01-02-01.wav,fearful,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-06-01-02-01-01.wav,fearful,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-06-01-02-02-01.wav,fearful,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-06-02-01-01-01.wav,fearful,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-06-02-01-02-01.wav,fearful,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-06-02-02-01-01.wav,fearful,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-06-02-02-02-01.wav,fearful,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-07-01-01-01-01.wav,disgust,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-07-01-01-02-01.wav,disgust,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-07-01-02-01-01.wav,disgust,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-07-01-02-02-01.wav,disgust,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-07-02-01-01-01.wav,disgust,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-07-02-01-02-01.wav,disgust,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-07-02-02-01-01.wav,disgust,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-07-02-02-02-01.wav,disgust,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-08-01-01-01-01.wav,surprised,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-08-01-01-02-01.wav,surprised,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-08-01-02-01-01.wav,surprised,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-08-01-02-02-01.wav,surprised,normal,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-08-02-01-01-01.wav,surprised,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-08-02-01-02-01.wav,surprised,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-08-02-02-01-01.wav,surprised,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_01\03-01-08-02-02-02-01.wav,surprised,strong,1,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-01-01-01-01-02.wav,neutral,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-01-01-01-02-02.wav,neutral,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-01-01-02-01-02.wav,neutral,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-01-01-02-02-02.wav,neutral,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-02-01-01-01-02.wav,calm,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-02-01-01-02-02.wav,calm,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-02-01-02-01-02.wav,calm,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-02-01-02-02-02.wav,calm,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-02-02-01-01-02.wav,calm,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-02-02-01-02-02.wav,calm,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-02-02-02-01-02.wav,calm,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-02-02-02-02-02.wav,calm,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-03-01-01-01-02.wav,happy,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-03-01-01-02-02.wav,happy,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-03-01-02-01-02.wav,happy,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-03-01-02-02-02.wav,happy,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-03-02-01-01-02.wav,happy,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-03-02-01-02-02.wav,happy,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-03-02-02-01-02.wav,happy,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-03-02-02-02-02.wav,happy,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-04-01-01-01-02.wav,sad,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-04-01-01-02-02.wav,sad,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-04-01-02-01-02.wav,sad,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-04-01-02-02-02.wav,sad,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-04-02-01-01-02.wav,sad,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-04-02-01-02-02.wav,sad,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-04-02-02-01-02.wav,sad,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-04-02-02-02-02.wav,sad,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-05-01-01-01-02.wav,angry,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-05-01-01-02-02.wav,angry,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-05-01-02-01-02.wav,angry,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-05-01-02-02-02.wav,angry,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-05-02-01-01-02.wav,angry,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-05-02-01-02-02.wav,angry,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-05-02-02-01-02.wav,angry,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-05-02-02-02-02.wav,angry,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-06-01-01-01-02.wav,fearful,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-06-01-01-02-02.wav,fearful,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-06-01-02-01-02.wav,fearful,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-06-01-02-02-02.wav,fearful,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-06-02-01-01-02.wav,fearful,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-06-02-01-02-02.wav,fearful,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-06-02-02-01-02.wav,fearful,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-06-02-02-02-02.wav,fearful,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-07-01-01-01-02.wav,disgust,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-07-01-01-02-02.wav,disgust,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-07-01-02-01-02.wav,disgust,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-07-01-02-02-02.wav,disgust,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-07-02-01-01-02.wav,disgust,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-07-02-01-02-02.wav,disgust,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-07-02-02-01-02.wav,disgust,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-07-02-02-02-02.wav,disgust,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-08-01-01-01-02.wav,surprised,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-08-01-01-02-02.wav,surprised,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-08-01-02-01-02.wav,surprised,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-08-01-02-02-02.wav,surprised,normal,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-08-02-01-01-02.wav,surprised,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-08-02-01-02-02.wav,surprised,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-08-02-02-01-02.wav,surprised,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_02\03-01-08-02-02-02-02.wav,surprised,strong,2,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-01-01-01-01-03.wav,neutral,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-01-01-01-02-03.wav,neutral,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-01-01-02-01-03.wav,neutral,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-01-01-02-02-03.wav,neutral,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-02-01-01-01-03.wav,calm,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-02-01-01-02-03.wav,calm,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-02-01-02-01-03.wav,calm,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-02-01-02-02-03.wav,calm,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-02-02-01-01-03.wav,calm,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-02-02-01-02-03.wav,calm,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-02-02-02-01-03.wav,calm,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-02-02-02-02-03.wav,calm,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-03-01-01-01-03.wav,happy,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-03-01-01-02-03.wav,happy,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-03-01-02-01-03.wav,happy,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-03-01-02-02-03.wav,happy,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-03-02-01-01-03.wav,happy,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-03-02-01-02-03.wav,happy,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-03-02-02-01-03.wav,happy,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-03-02-02-02-03.wav,happy,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-04-01-01-01-03.wav,sad,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-04-01-01-02-03.wav,sad,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-04-01-02-01-03.wav,sad,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-04-01-02-02-03.wav,sad,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-04-02-01-01-03.wav,sad,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-04-02-01-02-03.wav,sad,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-04-02-02-01-03.wav,sad,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-04-02-02-02-03.wav,sad,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-05-01-01-01-03.wav,angry,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-05-01-01-02-03.wav,angry,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-05-01-02-01-03.wav,angry,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-05-01-02-02-03.wav,angry,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-05-02-01-01-03.wav,angry,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-05-02-01-02-03.wav,angry,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-05-02-02-01-03.wav,angry,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-05-02-02-02-03.wav,angry,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-06-01-01-01-03.wav,fearful,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-06-01-01-02-03.wav,fearful,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-06-01-02-01-03.wav,fearful,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-06-01-02-02-03.wav,fearful,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-06-02-01-01-03.wav,fearful,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-06-02-01-02-03.wav,fearful,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-06-02-02-01-03.wav,fearful,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-06-02-02-02-03.wav,fearful,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-07-01-01-01-03.wav,disgust,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-07-01-01-02-03.wav,disgust,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-07-01-02-01-03.wav,disgust,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-07-01-02-02-03.wav,disgust,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-07-02-01-01-03.wav,disgust,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-07-02-01-02-03.wav,disgust,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-07-02-02-01-03.wav,disgust,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-07-02-02-02-03.wav,disgust,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-08-01-01-01-03.wav,surprised,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-08-01-01-02-03.wav,surprised,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-08-01-02-01-03.wav,surprised,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-08-01-02-02-03.wav,surprised,normal,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-08-02-01-01-03.wav,surprised,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-08-02-01-02-03.wav,surprised,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-08-02-02-01-03.wav,surprised,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_03\03-01-08-02-02-02-03.wav,surprised,strong,3,male
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-01-01-01-01-04.wav,neutral,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-01-01-01-02-04.wav,neutral,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-01-01-02-01-04.wav,neutral,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-01-01-02-02-04.wav,neutral,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-02-01-01-01-04.wav,calm,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-02-01-01-02-04.wav,calm,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-02-01-02-01-04.wav,calm,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-02-01-02-02-04.wav,calm,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-02-02-01-01-04.wav,calm,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-02-02-01-02-04.wav,calm,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-02-02-02-01-04.wav,calm,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-02-02-02-02-04.wav,calm,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-03-01-01-01-04.wav,happy,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-03-01-01-02-04.wav,happy,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-03-01-02-01-04.wav,happy,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-03-01-02-02-04.wav,happy,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-03-02-01-01-04.wav,happy,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-03-02-01-02-04.wav,happy,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-03-02-02-01-04.wav,happy,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-03-02-02-02-04.wav,happy,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-04-01-01-01-04.wav,sad,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-04-01-01-02-04.wav,sad,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-04-01-02-01-04.wav,sad,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-04-01-02-02-04.wav,sad,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-04-02-01-01-04.wav,sad,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-04-02-01-02-04.wav,sad,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-04-02-02-01-04.wav,sad,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-04-02-02-02-04.wav,sad,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-05-01-01-01-04.wav,angry,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-05-01-01-02-04.wav,angry,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-05-01-02-01-04.wav,angry,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-05-01-02-02-04.wav,angry,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-05-02-01-01-04.wav,angry,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-05-02-01-02-04.wav,angry,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-05-02-02-01-04.wav,angry,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-05-02-02-02-04.wav,angry,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-06-01-01-01-04.wav,fearful,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-06-01-01-02-04.wav,fearful,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-06-01-02-01-04.wav,fearful,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-06-01-02-02-04.wav,fearful,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-06-02-01-01-04.wav,fearful,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-06-02-01-02-04.wav,fearful,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-06-02-02-01-04.wav,fearful,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-06-02-02-02-04.wav,fearful,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-07-01-01-01-04.wav,disgust,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-07-01-01-02-04.wav,disgust,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-07-01-02-01-04.wav,disgust,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-07-01-02-02-04.wav,disgust,normal,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-07-02-01-01-04.wav,disgust,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-07-02-01-02-04.wav,disgust,strong,4,female
D:\ML PROJECTS\Emotion Detection from Voice\archive\Actor_04\03-01-07-02-02-01-04.wav,disgust,strong,4,female
